[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 239fps | 5.718600ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 86fps | 16.536500ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 89fps | 11.111200ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 253fps | 3.906900ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 90fps | 11.111700ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 255fps | 3.906700ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 90fps | 11.111400ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 255fps | 3.906800ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 90fps | 11.111600ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 255fps | 3.906700ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 90fps | 11.111200ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 255fps | 3.906300ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 90fps | 11.111200ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 255fps | 3.906700ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 90fps | 11.111200ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 256fps | 3.906800ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 90fps | 11.111700ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 256fps | 4.334400ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 89fps | 11.111400ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 241fps | 3.923200ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 90fps | 11.111500ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 254fps | 4.044900ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 88fps | 11.118100ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 247fps | 3.906500ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 90fps | 11.111400ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 255fps | 3.906300ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 90fps | 11.111200ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 256fps | 3.906500ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 90fps | 11.111800ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 256fps | 3.975200ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 90fps | 11.111500ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 255fps | 4.282500ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 90fps | 11.111600ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 255fps | 3.906400ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 90fps | 11.111400ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 256fps | 3.906600ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 90fps | 11.111800ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 256fps | 4.172800ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 90fps | 11.111200ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 255fps | 3.906400ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 90fps | 11.111300ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 256fps | 3.906500ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 90fps | 11.111200ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 256fps | 4.010100ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 90fps | 11.111300ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 255fps | 3.906600ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 90fps | 11.111700ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 256fps | 3.906600ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 90fps | 11.111500ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 255fps | 3.906600ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 90fps | 11.111600ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 256fps | 3.906400ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 90fps | 11.111600ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 256fps | 4.068900ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 90fps | 11.111200ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 255fps | 3.906400ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 236fps | 133.594200ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 84fps | 131.191900ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 85fps | 11.111500ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 242fps | 3.988200ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 89fps | 11.111400ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 249fps | 3.906800ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 90fps | 11.141200ms
[Trace E:\Development\C++\AEngine\AEngine\src\Core\Timer.h : 35] 251fps | 3.906600ms
